Date,Post Count
2019-03-11,1
2019-03-12,1
2019-03-27,1
2019-04-17,2
2019-04-26,1
2019-05-16,3
2019-06-02,1
2019-06-06,1
2019-06-07,2
2019-06-14,1
2019-06-30,1
2019-08-07,1
2019-08-09,1
2019-08-11,1
2019-08-25,2
2019-08-30,2
2019-09-04,1
2019-09-05,2
2019-09-26,1
2019-10-26,1
2019-10-31,1
2019-12-13,1
2019-12-16,1
2019-12-19,1
2019-12-28,1
2020-01-01,2
2020-01-08,22
2020-01-09,43
2020-01-10,27
2020-01-11,16
2020-01-12,4
2020-01-13,29
2020-01-14,57
2020-01-15,94
2020-01-16,92
2020-01-17,132
2020-01-18,75
2020-01-19,157
2020-01-20,682
2020-01-21,1765
2020-01-22,2247
2020-01-23,3853
2020-01-24,4912
2020-01-25,5309
2020-01-26,6979
2020-01-27,6810
2020-01-28,7482
2020-01-29,7668
2020-01-30,8877
2020-01-31,7976
2020-02-01,5524
2020-02-02,5083
2020-02-03,6145
2020-02-04,5876
2020-02-05,5700
2020-02-06,5807
2020-02-07,6094
2020-02-08,4552
2020-02-09,4053
2020-02-10,5399
2020-02-11,5037
2020-02-12,5062
2020-02-13,4837
2020-02-14,4025
2020-02-15,3050
2020-02-16,2975
2020-02-17,4064
2020-02-18,3755
2020-02-19,3496
2020-02-20,3589
2020-02-21,4582
2020-02-22,4348
2020-02-23,4373
2020-02-24,6679
2020-02-25,8326
2020-02-26,10885
2020-02-27,13233
2020-02-28,13850
2020-02-29,10626
2020-03-01,9862
2020-03-02,13736
2020-03-03,14911
2020-03-04,14775
2020-03-05,15197
